dataset,pair_id,cluster,isolated_fact_preference,frozen_k3_residual,spearman,spearman_ci_low,spearman_ci_high,source_id,source_path,source_sha256,json_path
2Wiki,validationpair-017a4ad7b81ca01703e22ffd,spouse -> country of citizenship,3.627102851867676,0.8416833877563477,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-01bd794d12c27ea689098c49,father -> place of burial,1.1875,1.2187498807907104,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-01f918ebfc50160c2981301e,mother -> place of death,1.029136300086975,0.2102954387664795,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-020be509862d8a5a948ab3a8,mother -> place of birth,1.0937501192092896,0.6640625,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-021b33284070eb666a14a60a,mother -> country of citizenship,1.91015625,1.316406011581421,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-022bbcbacbf6944a212744a1,spouse -> country of citizenship,2.8984373807907104,1.765624761581421,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-0235e43a220092ebc7dfb112,spouse -> country of citizenship,2.5078123807907104,2.624999761581421,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-02af52ae457eb18f7c100718,mother -> place of death,1.8212599754333496,0.32772183418273926,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-030d8841c49790031264a926,director -> spouse,0.5150456428527832,0.2502427101135254,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-033b638f10bb64939d239f3e,mother -> place of death,1.074521780014038,-0.22579383850097656,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-036c677a60e01001eb347205,performer -> place of birth,1.753807783126831,-0.05724287033081055,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-0385e87b34c6526f554f0df5,mother -> country of citizenship,0.921875,-0.023437857627868652,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-038c64221e14a9b933d10d9f,director -> educated at,0.5984880924224854,-0.12519598007202148,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-039747123572017f7b02f4cd,director -> father,1.335396647453308,1.3428664207458496,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-0446f33d29a0547719f4dd5e,father -> educated at,0.35684967041015625,0.5312862396240234,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-048146cad5c2203103de94ce,director -> child,1.3683805465698242,1.4696853160858154,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-0482daa08b9117154cb688da,director -> educated at,-0.1582331657409668,0.047377824783325195,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-048ecd20c4f54a228bdd4d59,director -> award received,0.0616765022277832,0.8378113508224487,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
