model,dataset,deep_exit,cluster,metric,value,source_id,source_path,source_sha256,json_path
Ouro-2.6B,2Wiki,3,spouse -> country of citizenship,deep specificity,4.285360753536224,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.spouse -> country of citizenship.C3
Ouro-2.6B,2Wiki,3,spouse -> country of citizenship,specificity gain,4.2847771644592285,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.spouse -> country of citizenship.A31
Ouro-2.6B,2Wiki,3,spouse -> educated at,deep specificity,4.069624215364456,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.spouse -> educated at.C3
Ouro-2.6B,2Wiki,3,spouse -> educated at,specificity gain,4.040445059537888,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.spouse -> educated at.A31
Ouro-2.6B,2Wiki,3,spouse -> place of birth,deep specificity,4.064414769411087,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.spouse -> place of birth.C3
Ouro-2.6B,2Wiki,3,spouse -> place of birth,specificity gain,3.953052133321762,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.spouse -> place of birth.A31
Ouro-2.6B,2Wiki,3,spouse -> place of burial,deep specificity,3.7088242173194885,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.spouse -> place of burial.C3
Ouro-2.6B,2Wiki,3,spouse -> place of burial,specificity gain,3.6593433022499084,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.spouse -> place of burial.A31
Ouro-2.6B,2Wiki,3,spouse -> place of death,deep specificity,3.393412560224533,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.spouse -> place of death.C3
Ouro-2.6B,2Wiki,3,spouse -> place of death,specificity gain,3.382762759923935,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.spouse -> place of death.A31
LoopUS,2Wiki,8,composer -> country of citizenship,deep specificity,5.83190430700779,loopus_specificity,reports/discovery/loopus_2wiki_offpath_specificity_v1_20260906/result.json,faee92a918fc5c779397514093d6c739353fa48fc534d52f8160e36562f7819d,summary.descriptive_no_additional_gates.per_relation_path.composer -> country of citizenship.C8
LoopUS,2Wiki,8,composer -> country of citizenship,specificity gain,0.8349704816937447,loopus_specificity,reports/discovery/loopus_2wiki_offpath_specificity_v1_20260906/result.json,faee92a918fc5c779397514093d6c739353fa48fc534d52f8160e36562f7819d,summary.descriptive_no_additional_gates.per_relation_path.composer -> country of citizenship.A81
LoopUS,2Wiki,8,composer -> place of birth,deep specificity,4.907010352239013,loopus_specificity,reports/discovery/loopus_2wiki_offpath_specificity_v1_20260906/result.json,faee92a918fc5c779397514093d6c739353fa48fc534d52f8160e36562f7819d,summary.descriptive_no_additional_gates.per_relation_path.composer -> place of birth.C8
LoopUS,2Wiki,8,composer -> place of birth,specificity gain,1.5344245536252856,loopus_specificity,reports/discovery/loopus_2wiki_offpath_specificity_v1_20260906/result.json,faee92a918fc5c779397514093d6c739353fa48fc534d52f8160e36562f7819d,summary.descriptive_no_additional_gates.per_relation_path.composer -> place of birth.A81
LoopUS,2Wiki,8,composer -> place of death,deep specificity,3.2026369869709015,loopus_specificity,reports/discovery/loopus_2wiki_offpath_specificity_v1_20260906/result.json,faee92a918fc5c779397514093d6c739353fa48fc534d52f8160e36562f7819d,summary.descriptive_no_additional_gates.per_relation_path.composer -> place of death.C8
